Female,Male,Vine,Observation_no,2020-05-06,2020-05-12,2020-05-17,2020-05-20,2020-05-23,2020-05-27,2020-05-30,2020-06-02,2020-06-06,2020-06-08,2020-06-11,2020-06-14,2020-06-18,2020-06-21,2020-06-25,2020-06-29,2020-07-02,2020-07-05,2020-07-13,2020-07-22,2020-07-27,2020-08-02,2020-08-09,2020-08-13,2020-08-16,2020-08-22,2020-08-26
SKND.009.41,ND.054.27,1.096.107,1,0,3,3,3,7,11,8,NA,12,13,14,14,16,16,17,18,17,19,22,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.108,1,5,5,5,5,8,8,8,NA,12,13,14,17,19,18,20,17,18,19,20,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.111,1,5,5,5,11,13,15,16,NA,19,61,69,71,75,75,77,79,79,79,79,79,81,81,83,85,85,85,85
SKND.009.41,ND.054.27,1.096.112,1,5,5,5,8,12,15,15,NA,19,20,60,71,75,73,77,77,79,77,79,81,79,79,79,79,79,81,81
SKND.009.41,ND.054.27,1.096.113,1,1,1,1,3,5,13,14,NA,16,16,18,18,71,71,73,75,75,75,79,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.115,1,1,5,7,11,12,15,16,NA,18,19,65,71,75,75,75,75,75,75,79,79,79,79,79,79,85,85,85
SKND.009.41,ND.054.27,1.096.116,1,1,3,5,7,11,14,14,NA,19,63,63,71,75,75,75,77,79,79,79,79,79,79,79,79,79,79,79
SKND.009.41,ND.054.27,1.096.117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.118,1,5,5,5,8,12,14,15,NA,19,19,62,69,71,75,77,77,79,79,79,81,79,79,81,85,85,85,85
SKND.009.41,ND.054.27,1.096.119,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.120,1,1,3,5,8,12,15,15,NA,18,20,68,71,75,75,75,75,75,75,79,79,79,79,79,79,79,79,81
SKND.009.41,ND.054.27,1.096.121,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.122,1,5,3,5,8,12,15,15,NA,18,20,65,71,75,75,75,77,79,77,79,79,79,79,81,85,85,85,85
SKND.009.41,ND.054.27,1.096.123,1,3,3,3,8,11,14,14,NA,14,16,17,19,20,73,75,75,23,75,79,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.124,1,3,3,1,3,1,1,0,NA,NA,12,14,15,18,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.126,1,3,5,7,8,13,15,15,NA,18,20,66,71,75,75,75,75,75,75,79,79,79,79,81,83,85,85,85
SKND.009.41,ND.054.27,1.096.127,1,5,7,8,12,14,16,16,NA,16,19,61,22,23,25,26,27,79,30,18,79,79,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.128,1,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.129,1,5,5,7,11,12,15,15,NA,18,61,60,69,73,75,75,75,75,75,79,79,79,79,79,81,81,85,79
SKND.009.41,ND.054.27,1.096.130,1,1,3,5,7,12,14,15,NA,19,18,13,15,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.096.131,1,NA,1,1,1,1,15,15,NA,NA,20,67,71,75,NA,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
